,Тема,Вопрос из БЗ,Ответ из БЗ,Классификатор 1 уровня,Классификатор 2 уровня
137,,"Здравствуйте, подскажите как загрузить обложку со смартфона на канал, в студии окноесть такое?","Да, в приложении Студия RUTUBE можно изменить обложку канала. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку на вашей текущей обложке профиля.",,
138,,"добрый день, можно приимерить другую обложку канала в студии на телефоне или нет?(","Да, в приложении Студия RUTUBE можно изменить обложку канала. Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку на вашей текущей обложке профиля.",,
139,,Как поменять обложку в профиле канала в рутуп стутии?,"Для этого, в правом верхнем углу нажмите на фото своего профиля. Затем кликните на иконку фотоаппарата на вашей текущей обложке профиля.",,
140,,"Здравствуйте. Скажите, пожалуйста, можно дли дать доступ к управлению каналом администратору и как его назначить в риложении студии?  есть ли у нас где-то инструкция?","На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": https://studio.rutube.ru/channel-settings Подробнее про управление доступами: https://rutube.ru/info/studio",,
141,,"Добрый день!Как мне создать доступ для администратора канала, чтобы он смог автономно заходить и размещать видео и пр. через приложение студии","На данный момент в приложении такой возможности нет. Рекомендуем воспользоваться веб-версией Студии для управления доступами к своему каналу. Перейдите в настройки канала и в разделе ""Доступы к студии канала"" нажмите на ""Добавить пользователя"": https://studio.rutube.ru/channel-settings Подробнее про управление доступами: https://rutube.ru/info/studio",,
142,,Не понимаю как управлять каналом другим с тудии рутуба на смартфоне,"Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio",,
143,,Можно управлть каналом грузить видео на чужой профиль только на сайте? В приложении студии сделайте так,"Все верно. Если вам выданы права на управление другим каналом, то это можно сделать только в веб-версии Студии: https://studio.rutube.ru/ Для этого нажмите на иконку профиля в правом верхнем углу Студии и выберете тот канал, которым хотите начать управлять. Подробнее про управление доступами: https://rutube.ru/info/studio.  Мы постоянно работаем над улучшением платформы и прислушиваемся к мнению пользователей. Ваше пожелание уже передали команде разработки.",,
144,,"приложение студии 50/50 сыровато дизайн как для дедушек если было бы более мимолистично по типу как в ютубе было бы имба и скажите пожалуйста какую обложку можно загружать на канала, не могу разобраться ","Мы будем рады услышать предложения по улучшению приложения, чтобы зафиксировать их. Рекомендуем соблюдать следующие требования для обложки канала: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",,
145,,"На 4 с минусом на момент начала 2021гПоследние пять лет сколько не заходил  на РuTube то сразу закрывал страницу. Какой-то совершенно невнятный интерфейс и неясно можно грузить обложку или нет и какую,хочу поменять уже оформление канала","Да, вы можете изменить обложку канала. Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",,
146,,Добрый день! Не получается загрузить обложку к каналу. Формат что ль не тот . Подскажите пожалуйста,"При изменении обложки канала мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",,
147,,какой должна быть обложка канала? По размерам и прочему,"Мы рекомендуем соблюдать следующие требования: Разрешение: 2204х864 пикселей Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",,
148,,хочу изменять интерфейс в обзоре студии приложения,На данный момент такой возможности нет. Однако мы уже зафиксировали ваше предложение.,,
149,,как передвигать блоки в обзоре в студиия7 на самсунге,На данный момент такой возможности нет. Мы постоянно работаем над улучшением платформы и прислушиваемся к мнению пользователей. Ваше пожелание уже передали команде разработки.,,
150,,Добрый вечер!!! Хотел бы уточнить как я могу посмотреть аналитику видео в приложении студия на андроиде?,"Для просмотра аналитики по конкретному видео перейдите во вкладку ""Видео"", сверху экрана выберите подраздел ""Видео"" или ""Shorts"" и нажмите на интересующий вас ролик.",,
151,,"Здравствуйте.Подскажите пожалуйста, где в мобильном приложении (скачивала из гугл стора) найти аналитику Rutube студию. можно смотреть аналитику на ролик на сайте и так далее.А в смартфоне вообще не могу найти, тыкая на аватарку попадаем в настройки.Спасибо за помощь.","Для просмотра аналитики по конкретному видео перейдите во вкладку ""Видео"", сверху экрана выберите подраздел ""Видео"" или ""Shorts"" и нажмите на интересующий вас ролик.",,
152,,"Добрый вечер. перешел с ютуба и не могу найти где посмотреть аналитику одного видео а не всех на моем канале , подскажите как и где это можно посмотреть в студии на хуавей?","Для просмотра аналитики по конкретному видео перейдите во вкладку ""Видео"", сверху экрана выберите подраздел ""Видео"" или ""Shorts"" и нажмите на интересующий вас ролик.",,
153,,сколько мне начислили за видео в студии андроида?,"На данный момент в приложении нет возможности посмотреть доход по конкретному видео, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization",,
154,,можно как-то увидеть сколько рублей придет за мой блогерский ролик? Пользуюсь студией приложением,"На данный момент в приложении нет возможности посмотреть доход по конкретному видео, но вы можете посмотреть аналитику в веб-версии Студии, для этого перейдите в раздел ""Монетизация"" и нажмите на вкладку ""Видео"": https://studio.rutube.ru/monetization",,
155,,где заполнить заявку на монетизацию в студии руьуба?,"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": https://studio.rutube.ru/monetization Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization",,
156,,как стать партнером в приложении студии,"На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": https://studio.rutube.ru/monetization Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization",,
157,,"как оформить договор чтобы деньги получать в приложении, мне сказадли в студии надо заявку оформить но я не могу найти такой раздел","На данный момент в приложении такой возможности нет, но вы можете подключиться к партнерской программе в веб-версии Студии в разделе ""Монетизация"": https://studio.rutube.ru/monetization Подробнее про подключение к партнерской программе: https://rutube.ru/info/monetization",,
158,,Здравствуйте !  Мне не хватает функционала в настройке своего канала:нужна возможность помещать видео в плейлист.Хотелось бы иметь возможность делать это в приложении студии,"Пока в приложении такой возможности нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists",,
159,,"как на сайте можно создавать подборки-плейлситы своих видео, как то же делать в приложении студии?","Пока в приложении такой возможности нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists",,
160,,Хотелось бы больше возможностей по созданию и управлению плейлистами. Нет возможности создать плейлисты из роликов моих,"Пока в приложении такой возможности действительно нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists",,
161,,Именно подборки сделать возможности нет. Но вы можете создать плейлисты и добавить туда необходимые видеоролики. Создать их можно в Студии RUTUBE: https://studio.rutube.ru/playlists.Не могу войти,"Пока в приложении такой возможности действительно нет, но вы можете создавать плейлисты в веб-версии Студии в разделе ""Плейлисты"": https://studio.rutube.ru/playlists",,
162,,Здравствуйте разработчики приложение студии на андроид классное у меня вопрос можно загружать видео на это приложение ,"Да, вы можете создавать и загружать ролики как формата Shorts, так и обычные.",,
163,,"Доброго времени суток. Я здесь новенькая, подскажите, пожалуйста, можно загружать видео? Отправлено с Студия RUTUBE на Android","Да, вы можете создавать и загружать ролики как формата Shorts, так и обычные.",,
164,,я хочу начать трансляцию но на телефоне студия для андроид,"Вы можете запустить трансляцию в приложении  Студия RUTUBE для android. Для этого, в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию"".",,
165,,"скачала студию с рустора, как запустить стрим?","Чтобы запустить трансляцию в приложении Студия RUTUBE для android в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию"".",,
166,,есть возможность запуска стримой для студии андроида?,"Вы можете запустить трансляцию в приложении  Студия RUTUBE для android. Для этого, в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию"".",,
167,,Здравствуйте а как можно запустить трансляцию в студии ноо я на хуавее?,"Вы можете запустить трансляцию в приложении  Студия RUTUBE для android. Для этого, в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию"".",,
168,,"Здравствуйте, есть проблема нужна ваша помощь с приложением студии рутуба, устанавлиявал с ру маркета. У меня два канала в рутубе. В одном из них - основном, в качестве логина используется мой номер телефона. На другом основном канале в качестве логина эл поста. На основном канале хочу запустить трансляцию,  тут так можно?","Да, вы можете запустить трансляцию в приложении Студия RUTUBE для android. Для этого, в нижней части экрана нажмите на ""+"" и выберите ""Создать трансляцию"".",,
169,,как посмотреть отклоненные модераторов ролики все?,"По статусу вы можете отфильтровать только опубликованные и запланированные видео, сортировака видео по статусу в категории ""Модерация/Отклонено"" недоступна.",,
170,,"Могу отфильтровать только опубликованные и запланированные видео, а заблокированные модерацией нет?","Верно, по статусу вы можете отфильтровать только опубликованные и запланированные видео.",,
171,,Здравствуйте! какие размеры Обложки ролика. Браузер Яндекс.,"Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",,
172,,"какой обложку надо сделать, чтобы на сериал мой личный установить?","Мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",,
173,,размер фотографии к ролику можно сделать 500мб?,"Нет, мы рекомендуем соблюдать следующие требования: Разрешение: до 1920х1080. Формат: jpeg, jpg или png Размер файла: не более 10 МБ.",,
174,,Как заблокировать чужой канал в сприложении студии,"На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments",,
175,,"Здравствуйте. Появился раздел в настройках Студии на сайте ""Заблокированные пользователи"" Как разблокировать - есть такая  возможно, а как заблокировать - не  с ПК, а в приложении. Так как блокировать каналы других, чтобы не оставляли комментарии на моем канале? Спасибо.","На данный момент такой возможности в приложении Студия RUTUBE нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments",,
176,,как заблокировать канал навсегда с тудии на телефоне?!,"На данный момент такой возможности нет, но мы ее обязательно добавим в следующих обновлениях. Рекомендуем воспользоваться разделом ""Комментарии"" в веб-версии Студии: https://studio.rutube.ru/comments",,
177,,"Мне надо 3 коммента закрепить, как?","На данный момент под видео можно закрепить только 1 комментарий. Комментарий может быть как ваш собственный, так и любого другого пользователя.",,
178,,до сколких сособщений зрителей по плеером можно вверху прикрепить прям под видео?,"Под видео можно закрепить 1 комментарий. Комментарий может быть как ваш собственный, так и любого другого пользователя.",,
179,,можно только чужие кооменты закруплять ? Или и чужой и свой могу?,"Под видео можно закрепить только 1 комментарий. Комментарий может быть как ваш собственный, так и любого другого пользователя.",,
180,,"Добрый день!Прошу проинструктировать, как перенести видео с моего канала Youtube на мой канал Rutube в приложении Студия. С Уважением, Максим","Перенести видео с YouTube на RUTUBE можно только в веб-версии Студии RUTUBE: https://studio.rutube.ru/. Для подключения соответствующего функционала, пожалуйста, напишите нам на help@rutube.ru",,
181,,как с ютуба к вам импортировать контент? В приле студии,"Перенести видео с YouTube на RUTUBE можно только в веб-версии Студии RUTUBE: https://studio.rutube.ru/. Для подключения соответствующего функционала, пожалуйста, напишите нам на help@rutube.ru",,
182,,"Добрый день. Спасибо. Подскажите, пожалуйста, как перенести более 100 видеов студии. На данный момент 175, пользуюсь прилой","Перенести видео с YouTube на RUTUBE можно только в веб-версии Студии RUTUBE: https://studio.rutube.ru/. Для подключения соответствующего функционала, пожалуйста, напишите нам на help@rutube.ru",,
183,,"Не могу зарегаться в приложении. Захочу написать, куда","Напишите в поддержку на help@rutube.ru, указав электронную почту или номер телефона, на которые регистрировался аккаунт.",,
184,,вам надо че нибудь скидывать если на хелп опишу проблему со входом?,"Да, вам необходимо указать электронную почту или номер телефона, на которые регистрировался аккаунт.",,
185,,"какая почта поддержки, если написать в приложении Студия RUTUBE?  И как это сделать","Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru",,
186,,"у всех есть кнопки связи с поддержкой, а у вас нет, я не хочу писать в чат я хочу прямо из приложения по студии все сделать","Здравствуйте! Из приложения Студия RUTUBE вы можее связаться с поддержкой. Нажмите на фото своего профиля в правом верхнем углу, выберите ""Поддержка"", а далее вы можете отправить обращение на help@rutube.ru",,
187,,"для чего нужна эта функция, она что-то дает? чтобы другие могли подключиться к моему каналу?","Да, с помощью настроек доступа вы сможете разрешить другим пользователям выполнять определённые действия в разделах Студии RUTUBE вашего канала, и при этом не нужно будет делиться своим паролем.",,
188,,мне надо давать пароль свой если дам доступ коллеге в студии?,"Нет, вам не нужно будет делиться своим паролем, если вы разрешите другим пользователям выполнять определённые действия в разделах Студии RUTUBE вашего канала.",,
189,,"я зашел в настройки, где тут это поле,куда нао списывать логин другого канала, мне надо быстрее настроить, чтобы могли за меня грузить. Ответьте.","Функционал предоставления доступа другим пользователям находится в блоке ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. ",,
190,,"мне надо куда зайти, чтобы оформить роли доступов?","Функционал предоставления доступа другим пользователям находится в блоке ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Здесь вы можете добавлять пользователей, назначать и изменять их роли.",,
191,,Чтобы дать доступ что надо списывать в поле пользователя?,"Вам необходимо списать данные этого пользователя (номер телефона или электронная почта), которому хотите выдать роль. Посмотреть эту информацию он может в профиле RUTUBE: https://rutube.ru/profile/",,
192,,"могу присоещдинить канал к моейс студии, если нет номера телефона на том канале, точно почта?","Да, можете. Вам потребуются данные этого пользователя (или номер телефона, или электронная почта), посмотреть эту информацию он может в профиле RUTUBE: https://rutube.ru/profile/",,
193,,как мне дать досутп к канал другу?+A204A203:A2A200:A250,"Нажмите на кнопку ""Добавить пользователя"" блока ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Далее заполните форму добавления пользователя и нажмите на кнопку ""Добавить"". Важно помнить, вы можете предоставить доступ к студии канала тем пользователям, у которых есть аккаунт на RUTUBE или свой канал.",,
194,,как названчить администратора канала?,"Нажмите на кнопку ""Добавить пользователя"" блока ""Доступы к студии канала"" в настройках канала: https://studio.rutube.ru/channel-settings. Далее заполните форму добавления пользователя и нажмите на кнопку ""Добавить"". Важно помнить, вы можете предоставить доступ к студии канала тем пользователям, у которых есть аккаунт на RUTUBE или свой канал.",,
195,,как мне дать доступ по ссылке на канал автора,"Предоставление доступа возможно только по номеру телефона или электронной почте, привязанные к действующему профилю RUTUBE.",,
196,,можно администратора на канал присоединить по айди?,"Нет, предоставление доступа возможно только по номеру телефона или электронной почте, привязанные к действующему профилю RUTUBE.",,
197,,"Можно дать доступ в студии человеку, у которого нет канала у вас?","Нет, предоставить доступ возможно только зарегистрированному пользователю RUTUBE с действующим профилем.",,
198,,"как мне добавить администратора, у которого нет канала на рутубе?",Предоставить доступ возможно только зарегистрированному пользователю RUTUBE с действующим профилем.,,
199,,сколько человек можно сделать администраторами?,Максимальное количество пользователей с разными ролями - 50 человек для 1 канала.,,
200,,50 ролей для 2-х каналов или 1?,Максимальное количество пользователей с разными ролями - 50 человек именно для 1 канала.,,
201,,"я работаю в группе компаний, у кажой компании есть канал свой, их около 70. Они могут все дать мне лоступ на управление каналами в настройках или есть лимит?","Лимита, то есть каких-либо ограничений для вас нет.",,
202,,Сколько студий мне могут дать в управление? Есть максимум?,Таких ограничений нет.,,
203,,ограничения на выдачу ролей мне однму аккаунту есть? Могут мне все разрешить управлять своим акком?,Таких ограничений нет.,,
204,,"максимально 100, 200 или сколька каналав мне могут одновременно дать мне права?",Здравствуйте. Ограничений на количество предоставленных в управление Студий для одного аккаунта нет.,,
205,,Можно дать 1 профилю роль редактора с ограниченными правами и модератора?,"Нет, действует ограничение, в рамках которого пользователь может иметь доступ к чужой студии только в одной роли.",,
206,,"почему-то не получается дать модератора моему подчиненному, редактора получилось, а модератора нет","Дело в том, что действует ограничение, в рамках которого пользователь может иметь доступ к чужой студии только в одной роли.",,
207,,Есть ограничение на количество получаемых ролей доя одного акаунта?,"Да, действует ограничение, в рамках которого пользователь может иметь доступ к чужой студии только в одной роли.",,
208,,роль редактора позволяется делать все-все?,"Нет, предоставление доступа даже самого высокого уровня не даёт всех возможностей, которые имеются у владельца канала. Недоступны следующие возможности: Удаление канала, Управление настройками доступа к студии.",,
209,,"что недоступно ребятам, которым дам доступ к своей студии?","Предоставление доступа даже самого высокого уровня не даёт всех возможностей, которые имеются у владельца канала. Недоступны следующие возможности: Удаление канала, Управление настройками доступа к студии.",,
210,,"Канал, которомудам доступ к студии, назначать роли другим пользователям?","Нет, только владелец канала может управлять настройками доступа и назначать роли.",,
211,,может другой управлять настройками доступов в моей студии?,"Нет, только владелец канала может управлять настройками доступа и назначать роли.",,
212,,как мне посмотреть что делал мой администратор на моем канале?,"Такая функция еще не реализована, следите за нашими обновлениями. Мы рекомендуем выдавать доступы только тем пользователям, которым вы полностью доверяете.",,
213,,"мне кажется на моем канале были удалены видео, как посмотреть кто из админов удалил их? ","Такая функция еще не реализована, следите за нашими обновлениями. Мы рекомендуем выдавать доступы только тем пользователям, которым вы полностью доверяете.",,
214,,"я не хочу управлять чужой студией, как отключиться?","Вам необходимо нажать на кнопку удаления напротив названия канала, к которому предоставлен доступ, в выпадающем меню своего профиля (вызывается нажатием на аватар в правом верхнем углу Студии) в Студии RUTUBE: https://studio.rutube.ru/",,
215,,"я дам управление другим, но потом они должны отказаться от доступа, как это сделать?","Необходимо нажать на кнопку удаления напротив названия канала, к которому предоставлен доступ, в выпадающем меню своего профиля (вызывается нажатием на аватар в правом верхнем углу Студии) в Студии RUTUBE: https://studio.rutube.ru/",,
216,,"Не могу найти список каналов, которыми управлять могу","Все предоставленные доступы вы можете увидеть в разделе ""Профили"" в меню Студии RUTUBE: https://studio.rutube.ru/. Все студии расположены в формате списка, с помощью которого можно перемещаться из одной студии в другую.",,
217,,у вас нет списка да? Студий котрыми управляю,"Все предоставленные доступы вы можете увидеть в разделе ""Профили"" в меню Студии RUTUBE: https://studio.rutube.ru/. Все студии расположены в формате списка, с помощью которого можно перемещаться из одной студии в другую.",,
218,,"я хочу дать доступ своему админу на свой канал, у него есть еще какие-то каналы в управлении? Как посмотреть"," Возможности, посмотреть, с какими студиями уже работает пользователь, которому хотите предоставить доступ, нет.",,
219,,"можно увидеть все доступы, к которым есть доступ, у того, кому я его даю в студии?","Нет. Возможности, посмотреть, с какими студиями уже работает пользователь, которому хотите предоставить доступ, нет.",,
220,,сколько ролей есть вообще в студии?,"Всего существуют пять ролей, каждая роль ограничена своим функционалом: 1. Редактор 2. Редактор с ограниченными правами 3. Модератор комментариев 4. Пользователь с правами просмотра 5. Пользователь с ограниченными правами просмотра",,
221,,какие доступы есть в студии?,"Всего существуют пять ролей, каждая роль ограничена своим функционалом: 1. Редактор 2. Редактор с ограниченными правами 3. Модератор комментариев 4. Пользователь с правами просмотра 5. Пользователь с ограниченными правами просмотра",,
222,,"Ест редактор обычняй и с ограниченными правами, модератор, доступ с правами просмотра и с ограниченными правами просмотра, это все или еще есь?","Все верно, всего существуют пять ролей, каждая роль ограничена своим функционалом: 1. Редактор 2. Редактор с ограниченными правами 3. Модератор комментариев 4. Пользователь с правами просмотра 5. Пользователь с ограниченными правами просмотра",,
223,,"значю только редактор есть и модератор, а какие еще могу дать каналам расширения?","Всего существуют пять ролей, каждая роль ограничена своим функционалом: 1. Редактор 2. Редактор с ограниченными правами 3. Модератор комментариев 4. Пользователь с правами просмотра 5. Пользователь с ограниченными правами просмотра",,
224,,Что редактор сможет делать на моем канале?,"Пользователь с правами редактора может осуществлять от имени канала любые действия в Студии, кроме: Удаления канала, Управления настройками доступа к каналу. Обращаем внимание, что только редактор, как и владелец канала, может изменять банковские реквизиты, на которые приходят выплаты по монетизации.",,
225,,редактор может канал удалить?,"Нет, пользователь с правами редактора может осуществлять от имени канала любые действия в Студии, кроме: Удаления канала, Управления настройками доступа к каналу. Обращаем внимание, что только редактор, как и владелец канала, может изменять банковские реквизиты, на которые приходят выплаты по монетизации.",,
226,,а че только 50 чел могу подключить на управление каналом?,"Да, максимальное количество пользователей с разными ролями - 50 человек для 1 канала. Вы самостоятельно можете распределять количество пользователей на каждую роль.",,
227,,сколько редакторов могу сделать на рутупе?,"Максимальное количество пользователей с разными ролями - 50 человек для 1 канала (то есть вы момжете назначить 50 ""Редакторов""). ",,
228,,"у нас 1 канал на всех, около 16 чел, можно всем вместе списаться на доступ расширенный самый?","Да, максимальное количество пользователей с разными ролями - 50 человек для 1 канала. Вы самостоятельно можете распределять количество пользователей на каждую роль.",,
229,,"с правами Редактора создать трансляцию нельзя что ль  в итоге, если только почта в профиле?","Нет, Редактор не сможет создать трансляцию, так как наличие телефона владельца канала является обязательным условием для этого действия.",,
230,,"можно ли запускать трансляцию на чжом канале, если у меня расширенный доступ? Почему то номер все равно просит","Редактор не сможет создать трансляцию на сторонеем канале, так как наличие телефона владельца канала является обязательным условием для этого действия.",,
231,,"Есть роль на моем канале самая расширенная, могу почистить подписки через Студию чужую?","Нет, у пользователя с любым уровнем доступа нет возможности управлять подписками Владельца канала.",,
